,id,isomer,conf_id,affinity
83,2299,14,3,-7.2
84,17726,15,3,-9.042
85,18651,14,2,-7.975
86,12759,14,2,-7.747
87,12723,14,3,-8.563
88,11941,14,2,-8.666
89,17970,15,1,-8.316
90,16573,14,1,-8.81
91,14832,15,1,-8.809
92,13334,15,3,-8.929
93,16122,15,2,-8.399
94,6300,15,2,-9.271
95,1930,15,1,-8.532
96,12599,14,1,-8.024
97,9381,14,1,-9.046
98,16404,15,3,-8.231
99,3172,15,1,-8.135
100,15446,15,1,-8.874
101,16475,14,1,-9.258
102,17830,15,3,-8.026
103,11983,14,3,-8.673
104,8213,14,2,-9.919
105,8680,15,2,-9.175
106,396,15,2,-8.249
107,7739,14,1,-9.277
108,1282,15,3,-7.988
109,9203,14,1,-9.061
110,8661,14,3,-8.85
111,670,15,1,-8.592
112,4887,14,1,-8.517
113,552,15,3,-8.081
114,360,15,3,-7.934
115,14288,15,2,-9.387
116,3400,15,1,-8.046
117,13770,15,1,-9.045
118,6299,14,1,-9.01
119,16628,15,3,-8.85
120,4142,15,1,-9.508
121,87,14,1,-8.622
122,4842,15,2,-7.514
123,3237,14,2,-8.501
124,17386,15,3,-8.835
125,8029,14,2,-7.843
126,15135,14,3,-8.49
127,9301,14,3,-8.025
128,6155,14,1,-8.846
129,13249,14,3,-8.604
130,391,14,1,-8.693
131,10733,14,2,-7.223
132,8333,14,1,-8.155
133,9241,14,2,-7.85
134,8052,15,2,-8.395
135,9566,15,2,-8.413
136,6546,15,2,-8.204
137,17105,14,1,-8.646
138,7044,15,3,-8.177
139,16672,15,2,-7.91
140,5288,15,3,-9.064
141,572,15,1,-9.198
142,10366,15,1,-8.05
143,15642,15,2,-8.683
144,3481,14,1,-8.52
145,6379,14,3,-8.692
146,11942,15,3,-8.618
147,10828,15,2,-8.23
148,948,15,1,-8.293
149,12698,15,2,-8.063
150,916,15,3,-8.434
151,10390,15,3,-8.905
152,15666,15,2,-9.087
153,3152,15,3,-7.904
154,6320,15,2,-7.744
155,825,14,2,-9.413
156,12508,15,3,-8.419
157,16550,15,3,-8.979
158,11336,15,3,-8.289
159,16589,14,3,-9.032
160,5979,14,3,-9.455
161,18480,15,1,-8.606
162,7817,14,1,-8.147
163,2391,14,2,-9.099
164,7138,15,3,-7.942
165,4164,15,2,-9.045
166,18561,14,3,-7.868
167,5274,15,3,-8.773
168,11293,14,1,-9.332
169,6004,15,2,-8.014
170,10799,14,1,-7.638
171,6133,14,1,-10.33
172,8648,15,3,-9.323
173,16989,14,3,-9.02
174,15171,14,1,-7.838
175,12175,14,2,-8.251
176,16957,14,2,-8.269
177,12218,15,2,-8.43
178,6457,14,2,-8.564
179,9620,15,3,-8.023
180,4679,14,3,-9.142
181,7955,14,3,0.0
182,255,14,1,-9.126
183,11925,14,1,-8.285
184,2861,14,3,-8.334
185,11870,15,3,-9.24
186,3837,14,1,-7.91
187,956,15,3,-8.177
188,3584,15,1,-9.021
189,17121,14,1,-8.141
190,6859,14,1,-8.033
191,11771,14,3,-7.987
192,9290,15,3,-9.02
193,7740,15,2,-9.078
194,9043,14,3,-8.029
195,6006,15,3,-7.653
196,2199,14,2,-7.818
197,12395,14,3,-8.874
198,1886,15,1,-8.346
199,15449,14,1,-9.264
200,15589,14,2,-9.58
201,9310,15,3,-8.135
202,8384,15,3,-8.301
203,5583,14,3,-8.681
204,11204,15,3,-8.606
205,8468,15,3,-8.45
206,3452,15,3,-8.921
207,15289,14,1,-8.979
208,2295,14,3,-9.143
209,1772,15,3,-7.987
210,11275,14,1,-9.214
211,1830,15,2,-8.461
212,8170,15,3,-8.467
213,18506,15,1,-8.591
214,13890,15,2,-9.348
215,574,15,1,-8.127
216,13778,15,1,-8.401
217,13998,15,2,-7.833
218,14705,14,2,-7.9
219,9088,15,3,-8.228
220,14214,15,1,-8.22
221,1599,14,3,-7.75
222,9876,15,1,-8.328
223,7475,14,1,-8.889
224,16801,14,3,-8.488
225,18677,14,2,-7.719
226,4501,14,2,-8.643
227,10843,14,3,-9.353
228,3127,14,3,0.0
229,7401,14,1,-7.754
230,12821,14,2,-8.309
231,15064,15,3,0.0
232,7503,14,3,-8.886
233,183,14,1,-8.285
234,6544,15,2,-8.902
235,6235,14,1,-7.965
236,12949,14,1,-9.21
237,12834,15,3,-8.226
238,10890,15,2,-8.788
239,3754,15,2,-8.729
240,17300,15,1,-9.06
241,16990,15,2,-9.263
242,10098,15,1,-8.97
243,17300,15,2,-9.303
244,2300,15,2,-7.403
245,12852,15,1,-7.63
246,7848,15,1,-9.5
247,3171,14,1,-7.693
248,11994,15,2,-8.255
249,1387,14,2,-8.329
250,4598,15,2,-8.475
251,15590,15,2,-8.906
252,11722,15,1,-8.577
253,17197,14,2,-8.165
254,14909,14,1,-8.145
255,16688,15,1,-8.409
256,10981,14,2,-9.037
257,5409,14,3,-7.588
258,11758,15,2,-7.793
259,6779,14,1,-8.258
260,13333,14,3,-9.252
261,17816,15,2,-9.567
262,15024,15,3,-8.303
263,2777,14,1,-7.972
264,12527,14,3,-8.104
265,14508,15,1,-8.948
266,12798,15,2,-8.912
267,7402,15,1,-7.903
268,12625,14,2,-8.172
269,15565,14,1,-7.772
270,9705,14,2,-8.621
271,7608,15,2,-9.017
272,13957,14,1,-8.001
273,14707,14,3,-9.635
274,5589,14,1,-7.903
275,18078,15,1,-8.345
276,17107,14,2,-7.678
277,7955,14,2,0.0
278,17378,15,3,-9.094
279,1006,15,2,-8.953
280,8666,15,3,-7.745
281,14472,15,3,-8.494
282,18286,15,3,-8.302
283,4317,14,2,-7.8
284,4374,15,3,-8.581
285,2761,14,2,-8.84
286,18599,14,3,-8.327
287,8953,14,1,-8.956
288,10483,14,2,-8.582
289,17665,14,3,-9.028
290,14202,15,2,-8.902
291,2364,15,1,-8.289
292,9649,14,2,0.0
293,18151,14,1,-9.224
294,11983,14,2,-8.534
295,18345,14,2,-8.113
296,8550,15,1,-8.883
297,18379,14,2,-8.818
298,18612,15,3,-8.937
299,6455,14,1,-8.882
300,3949,14,1,-10.01
301,7737,14,2,-9.651
302,2392,15,3,-9.731
303,8615,14,1,-8.235
304,18508,15,2,-7.264
305,6573,14,2,-9.229
306,7093,14,2,-8.434
307,7205,14,1,-9.034
308,16333,14,3,-8.718
309,5486,15,1,-8.561
310,11909,14,1,-9.06
311,358,15,3,-7.326
312,14504,15,1,-8.889
313,18383,14,1,-9.104
314,5436,15,3,-8.818
315,8946,15,1,-8.609
316,13371,14,1,-8.631
317,13730,15,1,-7.909
318,18592,15,2,-7.594
319,15064,15,2,0.0
320,6009,14,1,-7.542
321,4820,15,2,-9.369
322,5772,15,2,-9.139
323,13116,15,3,-8.451
324,15157,14,3,-7.491
325,2553,14,3,-8.995
326,8844,15,1,-8.381
327,7805,14,1,-8.631
328,17800,15,2,-8.954
329,18234,15,3,-8.833
330,13197,14,3,-7.671
331,9920,15,1,-8.098
332,12142,15,3,-9.559
333,9810,15,3,-8.303
334,17753,14,3,-8.037
335,9330,15,1,-8.2
336,16765,14,3,-7.825
337,4540,15,1,-9.705
338,16321,14,3,-8.658
339,4141,14,3,-9.022
340,11172,15,2,-9.083
341,9362,15,1,-9.054
342,375,14,3,-8.384
343,18041,14,2,-7.931
344,12216,15,3,-8.439
345,16079,14,1,0.0
346,16855,14,1,-8.408
347,3275,14,3,-8.381
348,2536,15,3,-8.82
349,10938,15,3,-7.843
350,9532,15,3,-9.272
351,13344,15,3,-8.451
352,15064,15,1,0.0
353,4820,15,3,-9.353
354,16322,15,1,-8.7
355,16362,15,3,-8.93
356,16671,14,2,-7.728
357,6091,14,2,-8.838
358,7485,14,3,-7.885
359,1005,14,2,-8.923
360,7333,14,3,-9.597
361,12828,15,1,-8.196
362,17074,15,2,-8.555
363,13583,14,3,-8.424
364,16590,15,3,-9.221
365,12054,15,1,-8.899
366,17125,14,3,-8.731
367,18027,14,2,0.0
368,3323,14,2,-7.939
369,17579,14,3,-8.328
370,3797,14,2,-8.24
371,10331,14,3,-8.656
372,10938,15,1,-8.367
373,8303,14,3,-9.059
374,6035,14,2,-8.895
375,12688,15,3,-9.115
376,16929,14,2,-8.908
377,13972,15,3,-9.271
378,16995,14,3,-7.975
379,10590,15,1,-8.679
380,18419,14,1,-8.561
381,16324,15,3,-7.571
382,13012,15,1,-8.136
383,3437,14,1,-8.246
384,18545,14,2,-8.316
385,15667,14,3,-8.651
386,12617,14,2,-8.731
387,10726,15,1,-9.328
388,12508,15,1,-8.573
389,12092,15,3,-7.26
390,9236,15,1,-9.609
391,9839,14,2,-8.665
392,8953,14,2,-8.968
393,14386,15,1,-9.136
394,11002,15,2,-9.364
395,8468,15,2,-8.152
396,3698,15,2,-8.208
397,12885,14,3,-9.326
398,1023,14,3,-8.093
399,9851,14,3,-8.742
400,4026,15,2,-8.195
401,341,14,1,-9.214
402,9768,15,3,-8.675
403,14307,14,2,-9.073
404,14758,15,2,-9.232
405,971,14,3,-8.113
406,9664,15,3,-8.109
407,10012,15,2,-8.807
408,245,14,1,-9.165
409,16026,15,3,-9.032
410,2395,14,2,-8.918
411,7817,14,2,-8.161
412,17830,15,2,-8.103
413,5553,14,2,-7.915
414,9875,14,3,-8.283
415,1771,14,2,-7.977
416,6453,14,3,-8.379
417,6009,14,2,-7.593
418,1406,15,1,-9.01
419,16336,15,3,-9.463
420,13361,14,3,-8.782
421,3247,14,2,-8.538
422,3716,15,3,-8.148
423,7959,14,2,-9.348
424,6926,15,2,-8.511
425,15917,14,3,-8.541
426,9715,14,1,-8.95
427,18771,14,3,-7.766
428,4330,15,2,-8.317
429,572,15,2,-9.264
430,17357,14,3,-8.576
431,9916,15,1,-9.021
432,3037,14,2,-8.2
433,1505,14,3,-9.288
434,6320,15,3,-7.551
435,13599,14,1,-8.296
436,2145,14,1,-9.369
437,8435,14,1,-8.715
438,9693,14,3,-8.237
439,17970,15,2,-8.295
440,13502,15,1,-8.922
441,5088,15,3,-9.073
442,4294,15,1,-7.831
443,1858,15,3,-8.843
444,3475,14,1,-7.252
445,18042,15,3,-8.084
446,9628,15,1,-7.546
447,9220,15,1,-8.248
448,17068,15,1,-8.668
449,11065,14,2,-9.146
450,13517,14,2,-8.881
451,6480,15,3,-9.119
452,4885,14,2,-8.128
453,15321,14,3,-8.464
454,15586,15,3,-8.802
455,15381,14,3,-9.213
456,8383,14,2,-8.757
457,13019,14,3,-8.498
458,12503,14,1,-8.801
459,12759,14,1,-7.414
460,7240,15,2,-8.541
461,10433,14,2,-8.877
462,10149,14,1,-7.879
463,5375,14,1,-7.543
464,1173,14,2,-7.705
465,9551,14,3,-8.793
466,7956,15,2,0.0
467,7043,14,1,-8.467
468,7334,15,2,-8.425
469,3835,14,2,-9.121
470,1798,15,1,-8.863
471,8662,15,2,-9.163
472,5797,14,2,-8.28
473,14806,15,2,-8.936
474,12467,14,2,-9.1
475,11204,15,1,-8.581
476,12437,14,3,-8.384
477,12953,14,1,-8.8
478,1723,14,3,-8.511
479,10976,15,1,-9.109
480,9243,14,1,-7.816
481,17044,15,1,-7.659
482,9181,14,2,-7.899
483,13020,15,1,-8.579
484,5418,15,1,-8.017
485,18747,14,2,-8.431
486,898,15,2,-7.984
487,15940,15,3,-8.46
488,12279,14,2,-8.612
489,9087,14,1,-8.886
490,1519,14,1,-9.075
491,15382,15,2,-9.901
492,4374,15,2,-7.828
493,4425,14,2,-8.554
494,4799,14,3,-8.52
495,5685,14,2,-8.344
496,7803,14,3,-9.294
497,17990,15,3,-7.922
498,17205,14,2,-8.769
499,8992,15,1,-8.969
500,18232,15,3,-8.268
501,9985,14,3,-8.738
502,3151,14,3,-8.288
503,9756,15,1,-8.013
504,18233,14,1,-8.006
505,13772,15,3,-7.59
506,18076,15,3,-8.192
507,14299,14,2,-9.315
508,8155,14,2,-8.933
509,9716,15,2,-8.663
510,18619,14,2,-8.299
511,6455,14,3,-8.687
512,4133,14,3,-8.626
513,1310,15,3,-8.848
514,6423,14,1,-8.182
515,331,14,1,-8.389
516,14983,14,3,-7.629
517,18030,15,1,-8.158
518,5910,15,1,-9.455
519,2610,15,1,-7.957
520,6372,15,2,-7.916
521,1469,14,2,-7.74
522,16843,14,1,-7.667
523,4152,15,3,-8.011
524,3675,14,3,-8.653
525,3996,15,3,-8.012
526,2279,14,1,-7.318
527,16766,15,2,-8.075
528,3583,14,3,-8.322
529,18642,15,2,-8.065
530,2304,15,1,-9.97
531,8579,14,2,-8.812
532,15098,15,1,-8.411
533,5565,14,1,-9.306
534,16197,14,2,-8.008
535,18019,14,2,-8.344
536,6341,14,2,-7.994
537,1829,14,2,-8.472
538,14488,15,1,-8.361
539,4240,15,1,-8.783
540,12791,14,2,-8.048
541,16573,14,2,-8.73
542,136,15,2,-8.571
543,12950,15,2,-8.962
544,15220,15,2,-8.235
545,3698,15,3,-8.185
546,9619,14,2,-8.477
547,1777,14,3,-9.152
548,17090,15,2,-7.966
549,18427,14,2,-8.353
550,13568,15,1,-7.944
551,2762,15,3,-8.088
552,18741,14,3,-8.827
553,12349,14,3,-8.372
554,2170,15,2,-8.572
555,2862,15,2,-8.53
556,15303,14,1,-7.621
557,11094,15,3,-8.3
558,4942,15,2,-9.013
559,4461,14,2,-8.889
560,9839,14,3,-8.65
561,2599,14,1,-9.051
562,6081,14,3,-8.396
563,12567,14,1,-8.416
564,9014,15,3,-7.843
565,5341,14,3,-7.457
566,1305,14,2,-8.243
567,3496,15,2,-7.547
568,13116,15,2,-8.517
569,16133,14,2,-8.449
570,15592,15,1,-7.634
571,17373,14,1,-8.206
572,10342,15,3,-8.279
573,16842,15,1,-7.96
574,6156,15,1,-9.342
575,5914,15,2,-9.677
576,443,14,3,-9.149
577,6786,15,2,-9.219
578,166,15,3,-8.206
579,6960,15,1,-9.297
580,13918,15,1,-7.844
581,8169,14,2,-8.113
582,16785,14,2,-8.709
583,2709,14,1,-7.974
584,16265,14,2,-8.592
585,11511,14,1,-8.412
586,2825,14,3,-8.23
587,14244,15,1,-7.964
588,2946,15,3,-8.427
589,5163,14,2,0.0
590,7401,14,2,-7.724
591,7748,15,3,-7.202
592,15810,15,2,-8.673
593,4560,15,3,-8.514
594,2800,15,2,-9.278
595,13769,14,2,-9.057
596,4239,14,1,-8.119
597,10828,15,1,-8.302
598,8123,14,1,-8.611
599,17310,15,3,-9.402
600,3900,15,1,-8.134
601,12936,15,2,-8.419
602,9203,14,3,-9.03
603,7806,15,2,-8.447
604,2723,14,3,-8.57
605,6838,15,1,-7.481
606,6286,15,2,-9.261
607,1827,14,1,-8.97
608,1655,14,2,-8.369
609,14090,15,1,-9.03
610,4776,15,2,-8.785
611,16022,15,1,-8.315
612,2296,15,3,-8.967
613,11373,14,2,-9.203
614,15907,14,3,-9.246
615,1195,14,3,-8.272
616,5905,14,2,-9.456
617,12791,14,3,-8.03
618,7751,14,2,-8.974
619,18429,14,3,-9.228
620,8251,14,3,-7.906
621,16461,14,1,-8.995
622,8942,15,1,-9.382
623,4922,15,2,-9.167
624,11398,15,2,-9.502
625,12729,14,2,-7.987
626,12822,15,1,-8.199
627,9310,15,1,-8.083
628,1798,15,3,-8.657
629,15322,15,3,-8.344
630,4214,15,1,-9.003
631,2263,14,3,-8.135
632,13863,14,1,-8.959
633,6059,14,3,-8.866
634,8006,15,3,-7.925
635,14909,14,3,-8.186
636,5207,14,3,-8.607
637,5568,15,2,-8.953
638,1930,15,3,-8.758
639,16910,15,3,-8.64
640,18286,15,2,-8.367
641,12274,15,3,-8.842
642,56,15,1,-8.25
643,11667,14,2,-8.279
644,9257,14,1,-8.008
645,17590,15,3,-8.729
646,4878,15,2,0.0
647,18759,14,1,-7.881
648,4372,15,1,-9.419
649,18444,15,3,-9.068
650,7182,15,2,-8.733
651,18534,15,1,0.0
652,16080,15,3,0.0
653,1909,14,1,-8.595
654,9370,15,1,-9.368
655,17925,14,2,-8.477
656,15423,14,1,-8.947
657,6449,14,2,-8.817
658,18641,14,3,-7.793
659,2181,14,2,-7.736
660,9242,15,2,-8.467
661,11223,14,3,-9.034
662,10962,15,1,-7.961
663,15797,14,3,-8.219
664,9716,15,3,-8.722
665,14415,14,2,-8.127
666,12838,15,2,-7.576
667,15649,14,1,0.0
668,9300,15,3,-8.554
669,14991,14,3,-8.136
670,14633,14,3,-8.893
671,2579,14,3,-7.848
672,1870,15,1,-8.688
673,12688,15,1,-9.262
674,966,15,3,-8.843
675,7788,15,1,-10.17
676,3037,14,3,-7.959
677,14112,15,2,-8.561
678,6273,14,2,-8.477
679,18093,14,1,-8.591
680,15767,14,3,-8.254
681,11717,14,2,-8.72
682,6804,15,3,-8.203
683,15903,14,3,-7.985
684,12724,15,2,-8.636
685,16690,15,2,-7.812
686,18348,15,2,-9.437
687,6480,15,1,-9.081
688,12319,14,3,-8.437
689,13777,14,1,-8.33
690,18396,15,1,-8.649
691,18600,15,3,-8.871
692,7752,15,1,-8.597
693,1667,14,3,-7.746
694,6156,15,3,-9.417
695,16322,15,3,-8.696
696,3243,14,1,-8.212
697,15904,15,1,-8.629
698,10908,15,2,-9.193
699,5836,15,1,-8.944
700,16672,15,3,-7.355
701,6777,14,2,-8.533
702,7817,14,3,-8.215
703,10332,15,2,-9.216
704,16116,15,2,-8.597
705,2346,15,1,-8.669
706,18611,14,3,-9.27
707,7740,15,3,-9.175
708,2548,15,2,-8.97
709,9204,15,1,-9.601
710,1692,15,3,-8.852
711,9767,14,3,-9.34
712,12759,14,3,-7.775
713,18716,15,2,-8.875
714,13400,15,3,-8.68
715,2957,14,3,-7.546
716,17281,14,1,-7.854
717,15678,15,2,-7.913
718,9916,15,3,-9.018
719,16448,15,1,-8.933
720,17067,14,1,-8.985
721,12114,15,3,-8.166
722,4887,14,3,-8.245
723,14686,15,1,-8.286
724,11817,14,3,-8.133
725,6777,14,1,-8.552
726,1152,15,2,-8.129
727,4886,15,2,-8.044
728,8835,14,1,-7.023
729,1284,15,1,-8.382
730,15695,14,1,-8.241
731,12518,15,2,-8.561
732,18427,14,1,-8.401
733,1103,14,1,-8.254
734,12406,15,1,-7.9
735,8554,15,3,-7.692
736,8565,14,2,-8.413
737,16989,14,1,-9.083
738,12298,15,3,-7.786
739,2697,14,2,-8.717
740,5644,15,1,-8.131
741,8915,14,2,-8.122
742,14164,15,2,-8.443
743,4688,15,2,-8.61
744,6672,15,2,-9.113
745,444,15,2,-9.42
746,14910,15,2,-8.478
747,2339,14,1,-8.302
748,15904,15,2,-8.542
749,15993,14,2,-8.125
750,5515,14,2,-8.147
751,12116,15,3,-8.71
752,13864,15,3,-9.613
753,3986,15,3,-8.743
754,13563,14,2,-7.43
755,18258,15,2,-8.695
756,5623,14,1,-9.082
757,15650,15,2,0.0
758,2580,15,2,-7.659
759,14464,15,2,-8.435
760,17043,14,1,-7.816
761,7773,14,2,-8.123
762,16958,15,3,-8.103
763,9917,14,3,-7.947
764,321,14,1,-8.3
765,13250,15,2,-9.033
766,15809,14,2,-8.32
767,1857,14,1,-8.404
768,17579,14,2,-8.272
769,15642,15,1,-8.635
770,14128,15,3,-7.576
771,13313,14,3,-8.297
772,18205,14,3,-9.025
773,558,15,2,-8.566
774,17810,15,1,-8.635
775,10907,14,1,-8.675
776,9369,14,2,-9.102
777,16671,14,3,-7.594
778,15910,15,1,-8.374
779,16323,14,1,-8.208
780,10690,15,2,-9.103
781,3318,15,3,-8.961
782,9557,14,1,-7.462
783,10394,15,2,-7.339
784,7181,14,3,-8.579
785,5905,14,3,-9.507
786,16472,15,1,-8.231
787,2938,15,1,-9.048
788,8803,14,1,-8.557
789,18285,14,2,-8.312
790,8646,15,1,-9.786
791,5431,14,1,-8.103
792,15063,14,2,0.0
793,9382,15,3,-9.738
794,3675,14,1,-8.646
795,17835,14,1,-9.05
796,6451,14,1,-8.06
797,16294,15,2,-7.876
798,2548,15,3,-9.182
799,3495,14,3,-7.602
800,15668,15,1,-8.771
801,4473,14,3,-7.866
802,16934,15,3,-8.67
803,5404,15,2,-7.755
804,8811,14,2,-8.098
805,18028,15,3,0.0
806,14578,15,2,-8.573
807,17143,14,2,-8.877
808,9715,14,3,-9.04
809,87,14,3,-8.626
810,6582,15,2,-7.969
811,15859,14,3,-8.939
812,3971,14,3,-8.377
813,6950,15,3,-8.077
814,6786,15,1,-9.167
815,10551,14,3,-8.472
816,1469,14,1,-7.613
817,3449,14,3,-9.279
818,9352,15,2,-8.305
819,3984,15,1,-8.284
820,3822,15,1,-8.928
821,12285,14,2,-9.035
822,16038,15,3,-9.185
823,13230,15,2,-9.007
824,8793,14,2,-9.179
825,11229,14,2,-9.446
826,2723,14,2,-8.412
827,13344,15,1,-8.424
828,3950,15,2,-9.324
829,3973,14,3,-8.794
830,18693,14,2,-9.027
831,13010,15,1,-8.811
832,10889,14,1,-8.312
833,10312,15,3,-8.732
834,13172,15,3,-9.231
835,11221,14,2,-7.792
836,531,14,2,-8.589
837,16933,14,2,-8.027
838,13567,14,2,-7.815
839,3260,15,1,-9.156
840,9716,15,1,-8.661
841,7607,14,3,-8.741
842,11717,14,3,-8.811
843,6426,15,2,-8.787
844,12405,14,1,-8.049
845,9890,15,3,-7.657
846,4351,14,3,-9.306
847,14036,15,3,-7.216
848,1761,14,2,-9.384
849,8177,14,2,-8.791
850,18162,15,1,-9.355
851,4164,15,3,-9.029
852,11336,15,1,-8.16
853,18759,14,3,-8.022
854,14600,15,1,-8.058
855,2071,14,3,-8.201
856,5287,14,1,-9.57
857,13996,15,2,-9.077
858,7997,14,3,-9.17
859,10571,14,2,-8.176
860,2196,15,2,-8.585
861,3084,15,1,-8.721
862,11721,14,1,-9.19
863,14719,14,3,-8.908
864,11708,15,1,-9.259
865,251,14,3,-8.853
866,2411,14,1,-9.125
867,466,15,2,-9.724
868,766,15,3,-8.424
869,18419,14,2,-8.537
870,16163,14,2,-8.941
871,12949,14,2,-9.218
872,1889,14,1,-8.04
873,8643,14,3,-9.117
874,3482,15,2,-8.084
875,209,14,2,-8.114
876,17682,15,3,-9.107
877,12886,15,2,-9.375
878,7860,15,2,-8.46
879,12141,14,1,-9.1
880,4607,14,3,-9.4
881,12236,15,3,-8.884
882,3163,14,2,-8.515
883,16658,15,1,-8.449
884,1775,14,1,-8.246
885,3933,14,3,-7.943
886,12387,14,2,-8.436
887,12379,14,1,-10.08
888,2169,14,1,-8.022
889,1223,14,2,-9.429
890,12783,14,3,-9.474
891,6515,14,2,-8.674
892,8005,14,2,-7.871
893,13193,14,2,-9.149
894,11350,15,2,-8.154
895,4115,14,1,-9.346
896,3393,14,3,-9.158
897,14992,15,3,-7.735
898,17044,15,2,-7.811
899,3933,14,2,-8.067
900,6554,15,2,-9.01
901,1519,14,2,-9.098
902,13120,15,2,-9.06
903,10517,14,3,-8.728
904,11722,15,2,-8.605
905,15754,15,2,-8.97
906,17310,15,2,-9.504
907,14214,15,3,-8.187
908,1242,15,1,-8.651
909,10416,15,1,-9.204
910,8151,14,3,-8.698
911,8498,15,3,-7.653
912,6236,15,2,-7.854
913,12954,15,1,-9.198
914,3672,15,3,-8.842
915,2303,14,3,-9.134
916,7471,14,1,-8.147
917,6784,15,2,-8.561
918,55,14,2,-8.402
919,6662,15,2,-7.793
920,3438,15,1,-8.158
921,15220,15,3,-7.738
922,2661,14,1,-9.1
923,7137,14,2,-8.015
924,3219,14,3,-7.964
925,301,14,3,-9.141
926,3323,14,3,-8.063
927,12387,14,3,-8.431
928,10058,15,2,-8.591
929,7703,14,2,-9.685
930,18377,14,1,-8.77
931,11707,14,2,-9.367
932,10365,14,1,-7.696
933,4600,15,3,-7.89
934,18033,14,1,-8.157
935,17861,14,2,-8.702
936,9729,14,3,-7.54
937,13020,15,2,-8.521
938,5022,15,2,-7.214
939,7472,15,2,-8.502
940,10785,14,3,-7.565
941,9730,15,3,-7.524
942,17109,14,3,-8.746
943,9614,15,1,-8.847
944,218,15,3,-9.102
945,5140,15,1,-7.532
946,18544,15,1,-8.9
947,464,15,1,-8.456
948,18504,15,2,-8.75
949,4829,14,1,-9.216
950,8510,15,1,-7.963
951,13858,15,3,-8.581
952,7667,14,3,-8.482
953,7223,14,3,-8.387
954,10499,14,2,-7.952
955,1909,14,2,-8.552
956,14385,14,2,-8.732
957,4951,14,2,-8.374
958,7608,15,1,-8.99
959,574,15,2,-8.293
960,625,14,1,-7.423
961,2512,15,3,-7.53
962,2512,15,1,-7.464
963,6134,15,2,-9.084
964,12923,14,1,-9.167
965,1282,15,2,-7.892
966,16025,14,1,-9.066
967,4921,14,2,-9.123
968,16609,14,2,-8.259
969,17169,14,2,-9.378
970,14036,15,2,-7.23
971,13177,14,3,-8.652
972,12755,14,3,-8.088
973,463,14,3,-9.234
974,11551,14,1,-8.342
975,16690,15,1,-8.05
976,2891,14,2,-9.197
977,13772,15,2,-7.57
978,6130,15,2,-8.092
979,1893,14,1,-8.175
980,6818,15,3,-8.263
981,17007,14,1,-8.35
982,5121,14,1,-8.215
983,16995,14,1,-7.825
984,14663,14,1,-8.428
985,18030,15,2,-8.033
986,17857,14,3,-9.51
987,650,15,3,-8.368
988,9665,14,2,0.0
989,5987,14,3,-8.764
990,17862,15,2,-8.728
991,4449,14,3,-9.513
992,14817,14,1,-7.016
993,18641,14,2,-7.839
994,1009,14,1,-9.279
995,10419,14,3,-8.194
996,6092,15,1,-9.242
997,14028,15,2,-8.323
998,2614,15,1,-7.946
999,5906,15,2,-8.792
1000,17123,14,1,-8.754
1001,1942,15,1,-9.2
