,id,isomer,conf_id,idock_score,rf_score
676,3037,14,3,-8.34,7.37
677,14112,15,2,-8.51,7.58
678,6273,14,2,-8.47,7.64
679,18093,14,1,-8.46,7.55
680,15767,14,3,-8.37,7.32
681,11717,14,2,-8.86,7.58
682,6804,15,3,-8.26,7.38
683,15903,14,3,-8.35,7.5
684,12724,15,2,-8.67,7.65
685,16690,15,2,-7.91,7.22
686,18348,15,2,-9.4,7.84
687,6480,15,1,-9.07,7.69
688,12319,14,3,-8.42,7.31
689,13777,14,1,-8.38,7.71
690,18396,15,1,-8.73,7.54
691,18600,15,3,-8.78,7.34
692,7752,15,1,-8.71,7.53
693,1667,14,3,-7.84,7.5
694,6156,15,3,-9.4,7.47
695,16322,15,3,-8.74,7.62
696,3243,14,1,-8.31,7.17
697,15904,15,1,-8.59,7.74
698,10908,15,2,-9.15,7.81
699,5836,15,1,-9.26,7.43
700,16672,15,3,-7.4,7.48
701,6777,14,2,-8.23,7.28
702,7817,14,3,-8.14,7.21
703,10332,15,2,-9.41,7.57
704,16116,15,2,-8.49,7.36
705,2346,15,1,-8.75,7.42
706,18611,14,3,-9.47,7.57
707,7740,15,3,-9.21,7.99
708,2548,15,2,-9.0,7.58
709,9204,15,1,-9.45,7.55
710,1692,15,3,-9.03,7.73
711,9767,14,3,-9.33,7.42
712,12759,14,3,-7.34,7.54
713,18716,15,2,-8.99,7.34
714,13400,15,3,-8.56,7.67
715,2957,14,3,-7.5,7.48
716,17281,14,1,-7.83,7.75
717,15678,15,2,-7.88,7.6
718,9916,15,3,-8.99,8.04
719,16448,15,1,-8.87,7.58
720,17067,14,1,-9.14,7.62
721,12114,15,3,-8.15,7.42
722,4887,14,3,-8.49,7.67
723,14686,15,1,-8.39,7.4
724,11817,14,3,-8.1,7.36
725,6777,14,1,-8.21,7.3
726,1152,15,2,-8.19,7.45
727,4886,15,2,-8.02,7.33
728,8835,14,1,-6.97,7.72
729,1284,15,1,-8.57,7.59
730,15695,14,1,-8.36,7.85
731,12518,15,2,-8.51,7.51
732,18427,14,1,-8.25,7.44
733,1103,14,1,-8.35,7.64
734,12406,15,1,-7.9,7.33
735,8554,15,3,-7.93,7.24
736,8565,14,2,-8.42,7.45
737,16989,14,1,-9.23,7.59
738,12298,15,3,-7.71,7.42
739,2697,14,2,-8.62,7.28
740,5644,15,1,-8.19,7.41
741,8915,14,2,-8.03,7.45
742,14164,15,2,-8.35,7.51
743,4688,15,2,-8.96,7.57
744,6672,15,2,-9.14,7.59
745,444,15,2,-9.57,7.77
746,14910,15,2,-8.5,7.25
747,2339,14,1,-8.57,7.56
748,15904,15,2,-8.53,7.77
749,15993,14,2,-8.05,7.58
750,5515,14,2,-8.39,7.27
751,12116,15,3,-9.24,7.59
752,13864,15,3,-9.65,7.8
753,3986,15,3,-8.74,7.69
754,13563,14,2,-7.81,7.23
755,18258,15,2,-8.77,7.87
756,5623,14,1,-9.26,7.34
757,15650,15,2,-8.01,7.38
758,2580,15,2,-8.04,7.65
759,14464,15,2,-8.36,7.51
760,17043,14,1,-7.65,7.34
761,7773,14,2,-8.45,7.4
762,16958,15,3,-8.12,7.35
763,9917,14,3,-8.04,7.14
764,321,14,1,-8.77,7.69
765,13250,15,2,-8.99,7.84
766,15809,14,2,-8.31,7.64
767,1857,14,1,-8.43,7.43
768,17579,14,2,-8.23,7.19
769,15642,15,1,-8.71,7.46
770,14128,15,3,-7.66,7.28
771,13313,14,3,-8.24,7.78
772,18205,14,3,-9.21,7.2
773,558,15,2,-8.44,7.54
774,17810,15,1,-8.65,7.57
775,10907,14,1,-8.97,7.57
776,9369,14,2,-9.07,7.64
